# MNE-Annotations
# orig_time : 2021-01-31 19:47:56.175731   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,1.0
300.0,30.0,1.0
330.0,30.0,1.0
360.0,30.0,1.0
390.0,30.0,1.0
420.0,30.0,1.0
450.0,30.0,1.0
480.0,30.0,1.0
510.0,30.0,1.0
540.0,30.0,1.0
570.0,30.0,1.0
600.0,30.0,2.0
630.0,30.0,2.0
660.0,30.0,2.0
677.183044,0.86053466796875,KC
690.0,30.0,2.0
720.0,30.0,2.0
750.0,30.0,0.0
780.0,30.0,1.0
810.010925,59.98907470703125,2.0
832.7776107986502,0.7930258717659626,KC
870.0,30.0,2.0
900.0,30.0,2.0
909.94458,1.18115234375,KC
930.0,30.0,2.0
960.0,30.0,2.0
990.0,30.0,2.0
1020.0,30.0,0.0
1050.0,30.0,0.0
1080.0,30.0,1.0
1110.0,30.0,1.0
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1230.0,30.0,2.0
1260.0,30.0,2.0
1290.0,30.0,2.0
1320.0,30.0,2.0
1334.424316,2.39599609375,KC
1350.0,30.0,2.0
1380.0,30.0,2.0
1410.0,30.0,2.0
1440.0,30.0,2.0
1470.0,30.0,2.0
1480.543579,1.2486572265625,KC
1500.0,90.0,2.0
1522.827026,0.742431640625,KC
1524.801147,1.029296875,KC
1543.867554,1.24853515625,KC
1545.892334,1.1304931640625,KC
1590.0,30.0,2.0
1614.974365,0.8604736328125,KC
