# MNE-Annotations
# orig_time : 2021-02-09 16:15:42.989266   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,1.0
360.0,30.0,1.0
390.0,30.0,1.0
420.0,30.0,1.0
450.0,30.0,1.0
480.0,30.0,1.0
510.0,30.0,1.0
540.0,30.0,2.0
570.0,30.0,2.0
593.16711811,1.5016872890,KC
600.0,30.0,2.0
630.0,30.0,2.0
641.55013273,1.6535433070,KC
645.21155005,1.3667041619,KC
660.0,30.0,2.0
690.0,30.0,2.0
720.0,30.0,2.0
726.32797300,1.5860517435,KC
750.0,30.0,2.0
760.35215748,0.9448818897,KC
780.0,30.0,2.0
810.0,30.0,2.0
840.0,30.0,2.0
870.0,30.0,2.0
900.0,30.0,2.0
930.0,30.0,2.0
937.23910911,2.3284589426,KC
948.55238245,2.0922384701,KC
960.0,30.0,2.0
990.0,30.0,2.0
1020.0,30.0,2.0
1026.1423712,1.4341957255,KC
1033.0602564,0.9955005624,KC
1050.0,30.0,2.0
1080.0,30.0,2.0
1085.6614938,1.3160854893,KC
1110.0,30.0,2.0
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1230.0,30.0,2.0
1260.0,30.0,2.0
1290.0,30.0,2.0
1317.5017187,0.8773903262,KC
1318.5073880,1.6704161979,KC
1320.0,30.0,2.0
1350.0,30.0,2.0
1356.6654308,1.4341957255,KC
1380.0,30.0,2.0
1410.0,30.0,2.0
1440.0,30.0,2.0
1460.7205489,1.4173228346,KC
1470.0,30.0,2.0
1476.0748796,1.4679415073,KC
1500.0,30.0,3.0
1530.0,30.0,3.0
1560.0,30.0,3.0
1590.0,30.0,2.0
1599.6519325,1.6535433070,KC
1620.0,30.0,3.0
1650.0,30.0,2.0
1680.0,30.0,3.0
1710.0,30.0,3.0
1740.0,30.0,3.0
1770.0,30.0,3.0
