# MNE-Annotations
# orig_time : 2021-02-16 15:41:58.254125   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,1.0
300.0,30.0,1.0
330.0,30.0,1.0
360.0,30.0,1.0
390.0,30.0,1.0
420.0,30.0,2.0
450.0,30.0,2.0
480.0,30.0,1.0
510.0,30.0,1.0
540.0,30.0,2.0
570.0,150.0,2.0
639.54616872,0.5230596175,KC
720.0,30.0,2.0
734.66709111,0.6242969628,KC
750.0,30.0,2.0
780.0,30.0,2.0
810.0,30.0,2.0
815.91849718,2.4803149606,KC
840.0,30.0,2.0
870.0,30.0,2.0
874.40837345,1.2654668166,KC
900.0,30.0,1.0
930.0,30.0,2.0
960.0,30.0,2.0
990.0,30.0,2.0
1020.0,30.0,2.0
1050.0,30.0,2.0
1080.0,30.0,2.0
1110.0,30.0,2.0
1140.0,30.0,2.0
1170.0,30.0,2.0
1194.3183847,1.4848143982,KC
1200.0,30.0,2.0
1205.2013993,2.0247469066,KC
1223.4494308,0.9617547806,KC
1230.0,30.0,2.0
1250.1423442,2.8683914510,KC
1260.0,30.0,2.0
1273.3003869,1.3160854893,KC
1290.0,30.0,2.0
1320.0,30.0,2.0
1350.0,30.0,2.0
1373.1288458,2.1259842519,KC
1380.0,30.0,2.0
1410.0,30.0,2.0
1429.1637165,1.0967379077,KC
1437.8701282,2.7502812148,KC
1440.0,30.0,2.0
1470.0,30.0,2.0
1500.0,30.0,2.0
1530.0,30.0,2.0
1560.0,30.0,2.0
1590.0,30.0,2.0
1610.9184971,2.7502812148,KC
1620.0,30.0,2.0
1650.0,30.0,2.0
1658.4663037,2.0922384701,KC
1680.0,30.0,2.0
1710.0,30.0,2.0
1740.0,30.0,2.0
1770.0,30.0,2.0
1800.0,30.0,2.0
1830.0,30.0,2.0
1860.0,30.0,2.0
1890.0,30.0,2.0
1920.0,30.0,2.0
1950.0,30.0,2.0
1980.0,30.0,2.0
2010.0,30.0,2.0
2040.0,30.0,2.0
2070.0,30.0,2.0
2100.0,30.0,2.0
2130.0,30.0,2.0
2154.6305331,2.0584926884,KC
2160.0,30.0,2.0
2164.9398695,2.3790776152,KC
2181.3487559,2.6659167604,KC
2190.0,30.0,0.0
2220.0,30.0,0.0
