# MNE-Annotations
# orig_time : 2021-02-15 16:46:43.404087   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,1.0
330.0,30.0,0.0
360.0,30.0,1.0
390.0,30.0,1.0
420.0,30.0,1.0
450.0,30.0,0.0
480.0,30.0,1.0
510.0,30.0,0.0
540.0,30.0,1.0
570.0,30.0,1.0
600.0,30.0,1.0
630.0,30.0,2.0
660.0,30.0,2.0
683.96691113,1.1304836895,KC
690.0,30.0,2.0
720.0,30.0,2.0
750.0,30.0,2.0
780.0,30.0,2.0
810.0,30.0,2.0
840.0,30.0,2.0
870.0,30.0,2.0
900.0,30.0,2.0
930.0,30.0,2.0
960.0,30.0,2.0
990.0,30.0,0.0
1020.0,30.0,0.0
1050.0,30.0,1.0
1080.0,30.0,2.0
1110.0,30.0,2.0
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1206.9252913,1.0123734533,KC
1230.0,30.0,2.0
1255.5529628,0.8436445444,KC
1260.0,30.0,1.0
1290.0,30.0,1.0
1320.0,30.0,1.0
1350.0,30.0,1.0
1380.0,30.0,0.0
1410.0,30.0,2.0
1417.4736602,0.7255343082,KC
1440.0,30.0,1.0
1470.0,30.0,0.0
1500.0,30.0,0.0
1530.0,30.0,0.0
1560.0,30.0,0.0
1590.0,30.0,0.0
1620.0,30.0,0.0
1650.0,30.0,0.0
1680.0,30.0,0.0
1710.0,30.0,0.0
1740.0,30.0,0.0
1770.0,30.0,0.0
1800.0,30.0,0.0
1830.0,30.0,0.0
1860.0,30.0,0.0
1890.0,30.0,0.0
1920.0,30.0,0.0
1950.0,30.0,0.0
