# MNE-Annotations
# orig_time : 2021-02-07 17:09:41.306091   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,1.0
420.0,30.0,1.0
450.0,30.0,1.0
480.0,30.0,0.0
510.0,30.0,0.0
540.0,30.0,1.0
570.0,30.0,1.0
600.0,30.0,1.0
630.0,30.0,1.0
660.0,30.0,2.0
661.88696962,0.7424071991,KC
676.49889313,1.6535433070,KC
690.0,30.0,1.0
720.0,30.0,2.0
720.05626096,1.0292463442,KC
750.0,30.0,2.0
780.0,30.0,1.0
810.0,30.0,2.0
840.0,30.0,2.0
870.0,30.0,2.0
892.21036670,1.3835770528,KC
900.0,30.0,2.0
930.0,30.0,2.0
944.74411248,1.6029246344,KC
960.0,30.0,2.0
981.01162654,0.8267716535,KC
988.95952305,1.8560179977,KC
990.0,30.0,2.0
992.11475365,1.0629921259,KC
993.32116535,1.1473565804,KC
1020.0,30.0,2.0
1044.0571833,0.8436445444,KC
1050.0,30.0,2.0
1071.7969808,1.5523059617,KC
1080.0,30.0,2.0
1096.6078020,1.3667041619,KC
1110.0,30.0,0.0
1140.0,30.0,1.0
1170.0,30.0,1.0
1200.0,30.0,2.0
1205.7002429,1.7379077615,KC
1230.0,30.0,2.0
1260.0,30.0,2.0
1264.1141912,1.5523059617,KC
1267.5984431,1.7547806524,KC
1277.4184656,1.6535433070,KC
1290.0,30.0,2.0
1320.0,30.0,2.0
1350.0,30.0,2.0
1360.8549111,1.2654668166,KC
1380.0,30.0,2.0
1381.0180157,1.3835770528,KC
1388.7120539,1.3160854893,KC
1398.5320764,1.2485939257,KC
1401.0292643,1.4848143982,KC
1403.1046299,1.3160854893,KC
1404.6231901,1.2148481439,KC
1410.0,30.0,2.0
1440.0,30.0,2.0
1460.3965309,1.4679415073,KC
1464.9522114,1.1642294713,KC
1470.0,30.0,2.0
1474.9240899,1.3667041619,KC
1489.6709966,1.5691788526,KC
1500.0,30.0,2.0
1507.5056422,1.6535433070,KC
1526.0236400,1.3160854893,KC
1530.0,30.0,2.0
1560.0,30.0,2.0
1590.0,30.0,2.0
1620.0,30.0,2.0
1650.0,30.0,2.0
1680.0,30.0,2.0
1710.0,30.0,2.0
1740.0,30.0,2.0
1770.0,90.0,2.0
1787.3248998,1.3160854893,KC
1860.0,30.0,2.0
1886.6471721,1.7379077615,KC
1890.0,30.0,3.0
1920.0,30.0,3.0
