# MNE-Annotations
# orig_time : 2021-02-06 18:10:30.302721   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,0.0
420.0,30.0,0.0
450.0,30.0,0.0
480.0,30.0,0.0
510.0,30.0,0.0
540.0,30.0,0.0
570.0,30.0,0.0
600.0,30.0,0.0
630.0,30.0,0.0
660.0,30.0,0.0
690.0,30.0,0.0
720.0,30.0,0.0
750.0,30.0,0.0
780.0,30.0,0.0
810.0,30.0,0.0
840.0,30.0,0.0
870.0,30.0,0.0
900.0,30.0,0.0
930.0,30.0,0.0
960.0,30.0,0.0
990.0,30.0,0.0
1020.0,30.0,0.0
1050.0,30.0,0.0
1080.0,30.0,0.0
1110.0,30.0,0.0
1140.0,30.0,0.0
1170.0,30.0,0.0
1200.0,30.0,0.0
1230.0,30.0,0.0
1260.0,30.0,0.0
1290.0,30.0,0.0
1320.0,30.0,0.0
1350.0,30.0,0.0
1380.0,30.0,0.0
1410.0,30.0,0.0
1440.0,30.0,0.0
1470.0,30.0,0.0
1500.0,30.0,0.0
1530.0,30.0,0.0
1560.0,30.0,0.0
1590.0,30.0,0.0
1620.0,30.0,0.0
1650.0,30.0,0.0
1680.0,30.0,0.0
1710.0,30.0,0.0
1740.0,30.0,0.0
1770.0,30.0,0.0
1800.0,30.0,0.0
1830.0,30.0,0.0
1860.0,30.0,0.0
1890.0,30.0,0.0
1920.0,30.0,0.0
1950.0,30.0,0.0
1980.0,30.0,0.0
2010.0,30.0,0.0
2040.0,30.0,0.0
2070.0,30.0,0.0
2100.0,30.0,1.0
2130.0,30.0,1.0
2160.0,30.0,1.0
2190.0,30.0,1.0
2220.0,30.0,1.0
2250.0,30.0,1.0
2280.0,30.0,1.0
2310.0,30.0,1.0
2340.0,30.0,2.0
2370.0,30.0,2.0
2400.0,30.0,2.0
2430.0,30.0,2.0
2436.0265556,1.2823397075,KC
2460.0,90.0,2.0
2550.0,30.0,2.0
2550.1126074,1.9235095613,KC
2580.0,30.0,2.0
2585.6384791,1.3835770528,KC
2610.0,30.0,2.0
2640.0,30.0,2.0
2662.0389291,1.2823397075,KC
2670.0,30.0,2.0
2681.1052958,1.3160854893,KC
2700.0,30.0,2.0
2730.0,30.0,2.0
2734.8201439,1.0292463442,KC
2760.0,30.0,2.0
2790.0,30.0,2.0
2820.0,30.0,2.0
2850.0,90.0,2.0
2940.0,30.0,2.0
2946.6171068,1.3329583802,KC
2970.0,30.0,2.0
3000.0,30.0,2.0
3030.0,30.0,2.0
3060.0,30.0,2.0
3090.0,30.0,2.0
3120.0,30.0,2.0
3141.1784116,1.4510686164,KC
3150.0,30.0,2.0
3151.9264431,2.0078740157,KC
3180.0,30.0,2.0
3210.0,30.0,0.0
3240.0,30.0,0.0
3270.0,30.0,0.0
3300.0,30.0,0.0
3330.0,30.0,0.0
