# MNE-Annotations
# orig_time : 2021-02-03 19:30:58.834394   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,1.0
390.0,30.0,1.0
420.0,30.0,1.0
450.0,30.0,1.0
480.0,30.0,2.0
483.32468965517245,0.3965517241379075,KC
510.0,30.0,2.0
540.0,30.0,2.0
544.732178,1.07989501953125,KC
570.0,30.0,2.0
600.0,30.0,2.0
630.0,30.0,2.0
660.0,30.0,2.0
690.0,30.0,0.0
720.0,30.0,0.0
750.0,30.0,1.0
780.0,30.0,2.0
810.0,30.0,2.0
840.0,30.0,2.0
870.0,30.0,2.0
900.0,30.0,2.0
930.0,30.0,2.0
960.0,30.0,2.0
990.0,30.0,2.0
998.385193,1.26544189453125,KC
1020.0,30.0,2.0
1050.0,30.0,2.0
1056.200073,1.8560791015625,KC
1080.0,30.0,2.0
1110.0,30.0,2.0
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1230.0,30.0,2.0
1260.0,30.0,2.0
1290.0,30.0,2.0
1320.0,30.0,2.0
1350.0,30.0,2.0
1352.099976,1.21484375,KC
1380.0,30.0,2.0
1388.0660689655172,1.0,KC
1410.0,30.0,2.0
1440.0,30.0,2.0
1444.9108965517241,1.1896551724137225,KC
1451.4453793103448,0.6206896551723275,KC
1454.5833103448276,1.22413793103442,KC
1470.0,30.0,2.0
1500.0,30.0,3.0
1530.0,30.0,2.0
1560.0,30.0,3.0
1590.0,30.0,2.0
1620.0,30.0,3.0
1650.0,30.0,3.0
1680.0,30.0,3.0
1710.0,30.0,3.0
