# MNE-Annotations
# orig_time : 2021-01-28 15:43:57.706144   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,0.0
420.0,30.0,0.0
450.0,30.0,0.0
480.0,30.0,0.0
510.0,30.0,0.0
540.0,30.0,0.0
570.0,30.0,0.0
600.0,30.0,0.0
630.0,30.0,0.0
660.0,30.0,0.0
690.0,30.0,0.0
720.0,30.0,0.0
750.0,30.0,0.0
780.0,30.0,0.0
810.0,30.0,0.0
840.0,30.0,0.0
870.0,30.0,0.0
900.0,30.0,0.0
930.0,30.0,0.0
960.0,30.0,0.0
990.0,30.0,0.0
1020.0,30.0,0.0
1050.0,30.0,0.0
1080.0,30.0,0.0
1110.0,30.0,0.0
1140.0,30.0,0.0
1170.0,30.0,1.0
1200.0,30.0,1.0
1230.0,30.0,2.0
1244.2455568,1.1473565804,KC
1260.0,30.0,2.0
1290.0,30.0,2.0
1320.0,30.0,2.0
1350.0,30.0,2.0
1351.0678290,2.1259842519,KC
1363.0138357,1.7210348706,KC
1380.0,30.0,2.0
1410.0,30.0,2.0
1438.0307086,2.4296962879,KC
1440.0,30.0,2.0
1470.0,30.0,2.0
1476.9986501,2.3453318335,KC
1500.0,30.0,2.0
1515.5532058,1.1642294713,KC
1530.0,30.0,2.0
1544.9879640,1.1979752530,KC
1546.8608548,0.9280089988,KC
1560.0,30.0,2.0
1584.2089988,1.7379077615,KC
1590.0,30.0,2.0
1620.0,30.0,2.0
1650.0,30.0,2.0
1680.0,30.0,2.0
1710.0,30.0,2.0
1740.0,30.0,2.0
1770.0,30.0,2.0
1800.0,30.0,2.0
1823.8377952,1.9066366704,KC
1830.0,30.0,2.0
1860.0,30.0,2.0
1890.0,30.0,2.0
1899.8754780,1.8728908886,KC
1914.3861642,2.4128233970,KC
1920.0,30.0,2.0
1921.9283464,2.0078740157,KC
1950.0,30.0,2.0
1962.0605174,1.6197975253,KC
1980.0,30.0,2.0
2010.0,30.0,2.0
2040.0,30.0,2.0
2070.0,30.0,2.0
2100.0,30.0,2.0
2101.9283464,1.3667041619,KC
2130.0,30.0,2.0
2160.0,30.0,2.0
2190.0,30.0,2.0
2198.7618672,0.7930258717,KC
2220.0,30.0,2.0
2226.4249718,1.3160854893,KC
2250.0,30.0,2.0
2280.0,30.0,2.0
2310.0,30.0,2.0
2340.0,30.0,0.0
2370.0,30.0,0.0
2400.0,30.0,0.0
2430.0,30.0,0.0
2460.0,30.0,0.0
2490.0,30.0,0.0
2520.0,30.0,0.0
2550.0,30.0,0.0
