# MNE-Annotations
# orig_time : 2021-02-04 15:53:23.096164   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,0.0
420.0,30.0,0.0
450.0,30.0,0.0
480.0,30.0,0.0
510.0,30.0,0.0
540.0,30.0,0.0
570.0,30.0,0.0
600.0,30.0,0.0
630.0,30.0,0.0
660.0,30.0,0.0
690.0,30.0,0.0
720.0,30.0,0.0
750.0,30.0,0.0
780.0,30.0,0.0
810.0,30.0,0.0
840.0,30.0,0.0
870.0,30.0,0.0
900.0,30.0,0.0
930.0,30.0,0.0
960.0,30.0,0.0
990.0,30.0,0.0
1020.0,30.0,0.0
1050.0,30.0,0.0
1080.0,30.0,0.0
1110.0,30.0,0.0
1140.0,30.0,0.0
1170.0,30.0,0.0
1200.0,30.0,0.0
1230.0,30.0,0.0
1260.0,30.0,0.0
1290.0,30.0,0.0
1320.0,30.0,0.0
1350.0,30.0,0.0
1380.0,30.0,0.0
1410.0,30.0,0.0
1440.0,30.0,0.0
1470.0,30.0,0.0
1500.0,30.0,0.0
1530.0,30.0,0.0
1560.0,30.0,0.0
1590.0,30.0,0.0
1620.0,30.0,0.0
1650.0,30.0,0.0
1680.0,30.0,0.0
1710.0,30.0,0.0
1740.0,30.0,0.0
1770.0,30.0,0.0
1800.0,30.0,0.0
1830.0,30.0,0.0
1860.0,30.0,0.0
1890.0,30.0,0.0
1920.0,30.0,0.0
1950.0,30.0,0.0
1980.0,30.0,0.0
2010.0,30.0,0.0
2040.0,30.0,0.0
2070.0,30.0,0.0
2100.0,30.0,0.0
2130.0,30.0,0.0
2160.0,30.0,0.0
2190.0,30.0,0.0
2220.0,30.0,0.0
2250.0,30.0,0.0
2280.0,30.0,0.0
2310.0,30.0,0.0
2340.0,30.0,0.0
2370.0,30.0,0.0
2400.0,30.0,0.0
2430.0,30.0,0.0
2460.0,30.0,0.0
2490.0,30.0,0.0
2520.0,30.0,0.0
2550.0,30.0,0.0
2580.0,30.0,0.0
2610.0,30.0,1.0
2640.0,30.0,1.0
2670.0,30.0,1.0
2700.0,30.0,2.0
2724.47998,1.720947265625,KC
2727.51709,1.602783203125,KC
2730.0,30.0,2.0
2730.14917,1.535400390625,KC
2755.323486,1.7548828125,KC
2760.0,30.0,2.0
2765.666504,1.990966796875,KC
2790.0,30.0,2.0
2820.0,30.0,2.0
2832.128906,2.7333984375,KC
2850.0,30.0,2.0
2880.0,30.0,2.0
2910.0,30.0,2.0
2940.0,30.0,2.0
2970.0,30.0,2.0
3000.0,30.0,2.0
3021.957275,1.90673828125,KC
3030.0,90.0,2.0
3076.380859,2.041748046875,KC
3105.97583,2.767333984375,KC
3120.0,30.0,2.0
3127.10083,1.3330078125,KC
3139.114258,2.9697265625,KC
3150.0,30.0,2.0
3165.022705,1.55224609375,KC
3180.0,30.0,2.0
3210.0,30.0,2.0
3240.0,30.0,2.0
3270.0,30.0,2.0
3300.0,30.0,2.0
3330.0,30.0,2.0
3360.0,30.0,2.0
3390.0,30.0,2.0
3420.0,90.01416015625,2.0
3443.644775,1.24853515625,KC
3456.11377,1.197998046875,KC
3467.832031,1.7041015625,KC
3485.109863,3.053955078125,KC
3489.994385,2.48046875,KC
3499.181885,1.349853515625,KC
3500.599121,1.872802734375,KC
3510.0,30.0,3.0
3540.0,30.0,2.0
3541.650879,1.78857421875,KC
3570.0,30.0,3.0
3600.0,30.0,3.0
3630.0,30.0,2.0
3637.564697,1.5185546875,KC
3660.0,30.0,3.0
3690.0,30.0,2.0
3720.0,30.0,3.0
3750.0,30.0,3.0
3780.0,30.0,3.0
3810.0,30.0,2.0
3840.0,30.0,3.0
