# MNE-Annotations
# orig_time : 2021-02-01 19:37:58.993127   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,1.0
210.0,30.0,1.0
240.0,30.0,1.0
270.01072215,59.989277840,2.0
277.54446794,0.7592800899,KC
312.84255568,0.9617547806,KC
330.0,30.0,2.0
360.0,30.0,2.0
379.35549156,2.4634420697,KC
390.0,30.0,2.0
415.46347806,2.4465691788,KC
420.0,30.0,2.0
450.0,30.0,2.0
480.0,30.0,2.0
510.0,30.0,2.0
540.0,30.0,2.0
570.0,30.0,2.0
600.0,30.0,2.0
630.0,30.0,2.0
660.0,30.0,2.0
690.0,30.0,2.0
720.0,30.0,2.0
748.69463667,0.7255343082,KC
750.0,30.0,2.0
761.72894488,1.3498312710,KC
780.0,30.0,2.0
810.0,30.0,2.0
840.0,30.0,2.0
848.76775253,1.3835770528,KC
869.46235320,1.1811023622,KC
870.0,30.0,2.0
900.0,30.0,2.0
930.0,30.0,2.0
960.0,30.0,2.0
990.0,30.0,2.0
1002.0664026,0.9280089988,KC
1007.8369313,1.3498312710,KC
1011.7345691,1.4510686164,KC
1020.0,30.0,2.0
1050.0,30.0,2.0
1060.8684274,1.2148481439,KC
1062.3532418,1.0967379077,KC
1063.5680899,1.2654668166,KC
1077.7919370,1.0292463442,KC
1078.9392935,1.5860517435,KC
1080.0,30.0,2.0
1110.0,30.0,2.0
1119.1220832,2.2947131608,KC
1122.2831496,1.3160854893,KC
1124.1839505,1.0967379077,KC
1126.4280449,1.4679415073,KC
1131.3380562,1.3835770528,KC
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1230.0,30.0,2.0
1260.0,30.0,3.0
1290.0,30.0,2.0
1320.0,30.0,2.0
1350.0,30.0,2.0
1361.6698897,1.7716535433,KC
1380.0,30.0,3.0
1410.0,30.0,3.0
1440.0,30.0,3.0
1470.0,30.0,3.0
1500.0,30.0,3.0
1530.0,30.0,3.0
1560.0,30.0,3.0
