# MNE-Annotations
# orig_time : 2021-02-01 15:37:41.964171   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,1.0
420.03177502,30.008436445,2.0
425.71793925,0.6074240719,KC
450.0,30.0,1.0
480.0,30.0,1.0
510.02333858,89.976661417,2.0
573.22075140,1.6366704161,KC
600.0,30.0,2.0
630.0,30.0,2.0
631.57564454,1.7716535433,KC
660.0,30.0,2.0
690.0,30.0,2.0
720.0,30.0,2.0
724.63807424,1.4341957255,KC
750.0,30.0,2.0
755.58295613,1.9066366704,KC
780.0,30.0,2.0
810.0,30.0,2.0
840.0,30.0,2.0
865.28205624,2.7165354330,KC
870.0,30.0,2.0
900.0,30.0,2.0
930.0,30.0,2.0
960.0,30.0,2.0
990.0,30.0,2.0
1002.4080404,2.7165354330,KC
1020.0,30.0,2.0
1050.0,30.0,2.0
1080.0,30.0,2.0
1110.0,30.0,2.0
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,0.0
1230.0,30.0,0.0
1260.0,30.0,0.0
1290.0,30.0,0.0
1320.0,30.0,0.0
1350.0,30.0,0.0
1380.0,30.0,0.0
1410.0,30.0,0.0
1440.0,30.0,0.0
1470.0,30.0,0.0
1500.0,30.0,0.0
1530.0,30.0,0.0
1560.0,30.0,0.0
1590.0,30.0,0.0
1620.0,30.0,0.0
1650.0,30.0,0.0
1680.0,30.0,0.0
1710.0,30.0,0.0
1740.0,30.0,0.0
