# MNE-Annotations
# orig_time : 2021-01-25 16:24:13.488190   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,1.0
390.0,30.0,0.0
420.0,30.0,1.0
450.0,30.0,2.0
464.36000449,2.0584926884,KC
480.0,30.0,2.0
510.0,30.0,2.0
540.0,30.0,2.0
570.0,30.0,2.0
571.08947581,2.8515185601,KC
600.0,30.0,2.0
618.58658267,1.9741282339,KC
630.0,30.0,2.0
631.48598875,2.0753655793,KC
657.02310911,1.2654668166,KC
660.0,30.0,2.0
690.0,30.0,2.0
720.0,30.0,2.0
750.0,30.0,2.0
757.40829246,1.1136107986,KC
780.0,30.0,2.0
810.0,30.0,2.0
840.0,30.0,2.0
870.0,30.0,2.0
900.0,30.0,2.0
924.08722609,1.4679415073,KC
930.0,30.0,2.0
948.48542632,1.9066366704,KC
960.0,30.0,2.0
983.99442519,3.2395950506,KC
990.0,30.0,2.0
1020.0,30.0,2.0
1050.0,30.0,2.0
1080.0,30.0,2.0
1099.7255028,0.8773903262,KC
1110.0,30.0,2.0
1134.9393070,2.4128233970,KC
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1230.0,30.0,2.0
1245.9544926,0.9111361079,KC
1260.0,30.0,2.0
1289.9843014,2.2103487064,KC
1290.0,30.0,2.0
1320.0,30.0,2.0
1350.0,30.0,2.0
1380.0,30.0,2.0
1410.0,30.0,2.0
1440.0,30.0,2.0
1462.2649538,1.3329583802,KC
1470.0,30.0,2.0
1500.0,30.0,2.0
1522.8976872,0.8436445444,KC
1530.0,30.0,2.0
1560.0,30.0,2.0
1587.7064611,1.6029246344,KC
1590.0,30.0,2.0
1605.3555050,1.8728908886,KC
1620.0,30.0,2.0
1632.0484184,0.9617547806,KC
1633.0945376,0.8942632170,KC
1649.5371698,2.6152980877,KC
1650.0,30.0,2.0
1680.0,30.0,2.0
1686.7672035,2.3622047244,KC
1710.0,30.0,2.0
1732.9904881,2.2103487064,KC
1740.0,30.0,2.0
1760.7548301,2.3959505061,KC
1770.0,30.0,2.0
1800.0,30.0,2.0
1822.8976872,1.3835770528,KC
1830.0,30.0,2.0
1860.0,30.0,2.0
1890.0,30.0,2.0
1915.4033115,1.5185601799,KC
1916.9809268,1.1304836895,KC
1920.0,30.0,2.0
1950.0,30.0,2.0
1980.0,30.0,2.0
2010.0,30.0,2.0
2040.0,30.0,2.0
2070.0,30.0,2.0
2100.0,30.0,2.0
2102.8526929,2.3959505061,KC
2130.0,30.0,2.0
2160.0,30.0,2.0
2190.0,30.0,2.0
2202.5208593,3.3745781777,KC
2220.0,30.0,2.0
2247.9004184,1.0123734533,KC
2250.0,30.0,2.0
2280.0,30.0,2.0
2310.0,30.0,2.0
2340.0,30.0,2.0
2346.9612418,3.0202474690,KC
2370.0,30.0,2.0
2380.4539302,1.0629921259,KC
2384.4924409,1.1979752530,KC
2392.7373948,2.2272215973,KC
2400.0,54.869268841,2.0
