# MNE-Annotations
# orig_time : 2021-02-02 18:22:46.645123   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,0.0
420.0,30.0,0.0
450.0,30.0,0.0
480.0,30.0,0.0
510.0,30.0,0.0
540.0,30.0,0.0
570.0,30.0,0.0
600.0,30.0,1.0
630.0,30.0,1.0
660.0,30.0,1.0
690.0,30.0,0.0
720.0,30.0,1.0
750.0,30.0,2.0
780.0,30.0,2.0
810.0,30.0,2.0
810.26434195,1.7885264341,KC
840.0,30.0,2.0
