# MNE-Annotations
# orig_time : 2021-02-05 16:48:10.602081   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,1.0
300.0,30.0,1.0
330.0,30.0,2.0
345.146576,1.4510498046875,KC
360.0,30.0,2.0
365.874908,1.805389404296875,KC
390.0,30.0,2.0
404.876587,2.024749755859375,KC
420.0,30.0,2.0
450.0,30.0,2.0
480.0,30.0,2.0
494.049835,2.00787353515625,KC
510.0,30.0,2.0
540.0,30.0,2.0
570.0,30.0,2.0
581.991333,2.7333984375,KC
600.0,30.0,2.0
630.0,30.0,2.0
660.0,30.0,2.0
683.431152,1.36669921875,KC
690.0,30.0,2.0
718.062744,1.14739990234375,KC
719.378845,1.197998046875,KC
720.0,30.0,2.0
729.705078,0.97857666015625,KC
750.0,30.0,2.0
767.761841,0.84368896484375,KC
780.0,30.0,2.0
810.0,90.0,2.0
811.833862,4.3194580078125,KC
816.786072,1.231689453125,KC
818.119019,1.36669921875,KC
862.0424026996626,1.0967379077615078,KC
900.0,30.0,2.0
930.0,30.0,2.0
960.0,30.0,2.0
968.7803104611924,1.5354330708661337,KC
990.0,30.0,2.0
996.5362159730036,1.6872890888638494,KC
1005.9934713160856,1.9910011248593946,KC
1020.0,30.0,2.0
1050.0,30.0,2.0
1080.0,30.0,2.0
1110.0,30.0,3.0
1140.0,30.0,3.0
1170.0,30.0,3.0
1200.0,30.0,3.0
1230.0,30.0,3.0
1260.0,30.0,3.0
1290.0,30.0,3.0
1320.0,30.0,3.0
1350.0,30.0,3.0
1380.0,30.0,3.0
1410.0,30.0,3.0
1440.0,30.0,3.0
1470.0,30.0,3.0
1500.0,30.0,3.0
1530.0,30.0,3.0
1560.0,30.0,3.0
1590.0,30.0,3.0
