# MNE-Annotations
# orig_time : 2021-02-04 18:44:37.543069   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,0.0
420.0,30.0,0.0
450.0,30.0,0.0
480.0,30.0,0.0
510.0,30.0,0.0
540.0,30.0,0.0
570.0,30.0,0.0
600.0,30.0,0.0
630.0,30.0,0.0
660.0,30.0,0.0
690.0,30.0,0.0
720.0,30.0,0.0
750.0,30.0,0.0
780.0,30.0,0.0
810.0,30.0,0.0
840.0,30.0,0.0
870.0,30.0,0.0
900.0,30.0,0.0
930.0,30.0,0.0
960.0,30.0,0.0
990.0,30.0,0.0
1020.0,30.0,0.0
1050.0,30.0,0.0
1080.0,30.0,0.0
1110.0,30.0,0.0
1140.0,30.0,0.0
1170.0,30.0,0.0
1200.0,30.0,1.0
1230.0,30.0,1.0
1260.0,30.0,2.0
1290.0,30.0,2.0
1320.0,30.0,2.0
1350.0,30.0,1.0
1380.0,30.0,1.0
1410.0,30.0,2.0
1413.8568053,1.5185601799,KC
1440.0,30.0,2.0
1470.0,30.0,2.0
1500.0,30.0,1.0
1530.0,30.0,2.0
1560.0,30.0,2.0
1590.0,30.0,2.0
1609.8523059,2.5309336332,KC
1620.0,30.0,2.0
1642.2904386,1.7547806524,KC
1650.0,30.0,2.0
1673.1087739,2.3790776152,KC
1680.0,30.0,2.0
1710.0,30.0,2.0
1740.0,30.0,2.0
1748.0497187,0.8605174353,KC
1748.9946006,1.1304836895,KC
1770.0,30.0,2.0
1773.8736782,1.6029246344,KC
1800.0,90.0,2.0
1849.9957255,1.5185601799,KC
1851.5986501,2.0753655793,KC
1862.5575928,2.1428571428,KC
1890.0,30.0,2.0
1898.8089988,1.9572553430,KC
1920.0,30.0,2.0
1950.0,30.0,2.0
1980.0,90.0,2.0
2000.0800899,1.6535433070,KC
2008.0778402,1.1473565804,KC
2040.4991001,0.8098987626,KC
2070.0,30.0,2.0
2100.0,30.0,2.0
2105.6284589,0.9617547806,KC
2124.5851518,1.0123734533,KC
2130.0,30.0,2.0
2160.0,30.0,2.0
2175.6509561,1.3160854893,KC
2190.0,30.0,2.0
2220.0,30.0,3.0
2250.0,30.0,3.0
2280.0,30.0,3.0
2310.0,30.0,3.0
2340.0,30.0,3.0
2370.0,30.0,3.0
2400.0,30.0,3.0
